Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Davis Schneider,6,25,LF,0.0,135,454,397,48,76,19,1,13,46,6,0,47,144,0.191,0.282,0.343,0.625,77.0,0.28,76.0,136,2,5,0,5,0,74H/D,,schneda03
Daulton Varsho*,7,27,CF,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,0.214,0.293,0.407,0.7,96.0,0.306,94.0,187,2,4,1,1,1,*87/H9D,GG,varshda01
George Springer,8,34,RF,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,0.22,0.303,0.371,0.674,91.0,0.312,97.0,202,16,6,0,2,0,*9D/H8,,springe01
Justin Turner,9,39,DH,0.4,91,349,301,37,77,17,0,6,31,0,2,39,60,0.256,0.35,0.372,0.722,106.0,0.321,109.0,112,15,6,0,3,0,D3/H5,,turneju01
Isiah Kiner-Falefa,10,29,IF,3.2,83,281,257,32,75,8,2,7,33,3,1,13,37,0.292,0.338,0.42,0.758,114.0,0.338,119.0,108,9,6,3,2,0,456/H18,,kineris01
Danny Jansen,11,29,C,0.6,62,228,198,27,42,13,0,6,18,0,0,25,42,0.212,0.303,0.369,0.671,90.0,0.3,92.0,73,1,2,0,3,0,2/HD,,janseda01
Addison Barger*,12,24,UT,0.4,69,225,208,20,41,11,0,7,28,2,0,14,60,0.197,0.25,0.351,0.601,68.0,0.272,70.0,73,1,1,0,1,0,59H7/D,,bargead01
Kevin Kiermaier*,13,34,CF,0.9,82,217,200,24,39,7,2,4,18,5,0,10,66,0.195,0.236,0.31,0.546,54.0,0.25,51.0,62,3,1,5,1,0,8/H9D,,kiermke01
Leo Jiménez,14,23,MI,0.9,63,210,179,18,41,11,0,4,19,0,0,12,59,0.229,0.329,0.358,0.686,95.0,0.31,99.0,64,6,16,0,3,0,64/HD,,jimenle01
Joey Loperfido*,15,25,LF,0.2,43,144,137,13,27,8,3,2,9,2,1,6,52,0.197,0.236,0.343,0.579,62.0,0.263,65.0,47,2,1,0,0,0,78/H3D,,loperjo01
Cavan Biggio*,16,29,2B,0.5,44,131,110,15,22,4,0,2,9,2,0,14,42,0.2,0.323,0.291,0.614,77.0,0.29,82.0,32,1,6,0,0,0,49/H35D,,biggica01
Nathan Lukes*,17,29,OF,1.2,22,91,76,13,23,4,2,1,10,1,0,10,9,0.303,0.371,0.447,0.818,131.0,0.355,130.0,34,1,0,2,3,0,7/98HD,,lukesna01
Will Wagner*,18,25,2B,0.7,24,86,82,8,25,6,0,2,11,0,0,4,16,0.305,0.337,0.451,0.788,122.0,0.354,130.0,37,3,0,0,0,0,4/H3D,,wagnewi01
Daniel Vogelbach*,19,31,DH,-0.4,31,79,70,5,13,5,0,1,8,0,0,9,17,0.186,0.278,0.3,0.578,65.0,0.262,65.0,21,4,0,0,0,0,DH,,vogelda01
Brian Serven,20,29,C,0.2,28,71,63,6,10,4,0,0,3,0,0,5,22,0.159,0.243,0.222,0.465,34.0,0.229,40.0,14,0,2,1,0,0,2/H,,servebr01
Steward Berroa#,21,25,OF,0.3,28,45,37,7,7,1,0,0,1,6,2,8,14,0.189,0.333,0.216,0.55,61.0,0.298,83.0,8,0,0,0,0,0,9H/78D,,berrost01
Luis De Los Santos,22,26,3B,-0.1,13,31,29,2,5,2,0,0,1,0,0,2,10,0.172,0.226,0.241,0.467,33.0,0.208,26.0,7,2,0,0,0,0,5/H37,,deloslu03
Jonatan Clase#,23,22,CF,0.2,7,23,20,3,7,1,0,1,2,0,1,1,3,0.35,0.435,0.55,0.985,178.0,0.443,210.0,11,0,2,0,0,0,/8H,,clasejo01
Tyler Heineman#,24,33,C,0.1,5,13,10,2,1,0,0,0,0,0,0,3,5,0.1,0.308,0.1,0.408,24.0,0.22,34.0,1,0,0,0,0,0,/21,,heinety01
Orelvis Martínez,25,22,2B,0.0,1,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,91.0,0.298,91.0,1,0,0,0,0,0,/4,,martior01
Chad Green*,26,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,greench03
Génesis Cabrera*,27,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,cabrege01
